CVEGEO,CVE_ENT,CVE_MUN,NOMGEO
01001,01,001,Aguascalientes
01008,01,008,San José de Gracia
01011,01,011,San Francisco de los Romo
01009,01,009,Tepezalá
01007,01,007,Rincón de Romos
01006,01,006,Pabellón de Arteaga
01004,01,004,Cosío
01005,01,005,Jesús María
01010,01,010,El Llano
01003,01,003,Calvillo
01002,01,002,Asientos
02007,02,007,San Felipe
02003,02,003,Tecate
02004,02,004,Tijuana
02001,02,001,Ensenada
02006,02,006,San Quintín
02005,02,005,Playas de Rosarito
02002,02,002,Mexicali
03001,03,001,Comondú
03008,03,008,Los Cabos
03003,03,003,La Paz
03002,03,002,Mulegé
03009,03,009,Loreto
04008,04,008,Tenabo
04005,04,005,Hecelchakán
04003,04,003,Carmen
04012,04,012,Seybaplaya
04001,04,001,Calkiní
04010,04,010,Calakmul
04006,04,006,Hopelchén
04011,04,011,Candelaria
04004,04,004,Champotón
04013,04,013,Dzitbalché
04002,04,002,Campeche
04009,04,009,Escárcega
04007,04,007,Palizada
05010,05,010,Frontera
05036,05,036,Viesca
05018,05,018,Monclova
05029,05,029,Sacramento
05007,05,007,Cuatro Ciénegas
05032,05,032,San Juan de Sabinas
05006,05,006,Castaños
05003,05,003,Allende
05012,05,012,Guerrero
05009,05,009,Francisco I. Madero
05005,05,005,Candela
05004,05,004,Arteaga
05016,05,016,Lamadrid
05035,05,035,Torreón
05014,05,014,Jiménez
05008,05,008,Escobedo
05019,05,019,Morelos
05038,05,038,Zaragoza
05037,05,037,Villa Unión
05001,05,001,Abasolo
05017,05,017,Matamoros
05002,05,002,Acuña
05026,05,026,Progreso
05021,05,021,Nadadores
05013,05,013,Hidalgo
05024,05,024,Parras
05020,05,020,Múzquiz
05023,05,023,Ocampo
05022,05,022,Nava
05015,05,015,Juárez
05011,05,011,General Cepeda
05034,05,034,Sierra Mojada
05033,05,033,San Pedro
05031,05,031,San Buenaventura
05030,05,030,Saltillo
05028,05,028,Sabinas
05027,05,027,Ramos Arizpe
05025,05,025,Piedras Negras
06009,06,009,Tecomán
06005,06,005,Cuauhtémoc
06010,06,010,Villa de Álvarez
06008,06,008,Minatitlán
06002,06,002,Colima
06007,06,007,Manzanillo
06006,06,006,Ixtlahuacán
06003,06,003,Comala
