fecha,Incidentes
2015-01-01,543
2015-02-01,581
2015-03-01,595
2015-04-01,506
2015-05-01,529
2015-06-01,579
2015-07-01,521
2015-08-01,604
2015-09-01,568
2015-10-01,653
2015-11-01,783
2015-12-01,796
2016-01-01,542
2016-02-01,593
2016-03-01,563
2016-04-01,598
2016-05-01,576
2016-06-01,648
2016-07-01,814
2016-08-01,755
2016-09-01,837
2016-10-01,844
2016-11-01,1023
2016-12-01,975
2017-01-01,977
2017-02-01,918
2017-03-01,1054
2017-04-01,942
2017-05-01,993
2017-06-01,1034
2017-07-01,986
2017-08-01,1030
2017-09-01,983
2017-10-01,1096
2017-11-01,1056
2017-12-01,962
2018-01-01,988
2018-02-01,1051
2018-03-01,1185
2018-04-01,1066
2018-05-01,1120
2018-06-01,954
2018-07-01,956
2018-08-01,1110
2018-09-01,1023
2018-10-01,1156
2018-11-01,1245
2018-12-01,1214
2019-01-01,1158
2019-02-01,1047
2019-03-01,1118
2019-04-01,1018
2019-05-01,1052
2019-06-01,813
2019-07-01,873
2019-08-01,916
2019-09-01,951
2019-10-01,963
2019-11-01,932
2019-12-01,821
2020-01-01,741
2020-02-01,710
2020-03-01,774
2020-04-01,878
2020-05-01,720
2020-06-01,877
2020-07-01,884
2020-08-01,815
2020-09-01,736
2020-10-01,805
2020-11-01,782
2020-12-01,805
2021-01-01,701
2021-02-01,651
2021-03-01,677
2021-04-01,692
2021-05-01,719
2021-06-01,746
2021-07-01,711
2021-08-01,778
2021-09-01,749
2021-10-01,772
2021-11-01,774
2021-12-01,790
2022-01-01,687
2022-02-01,673
2022-03-01,804
2022-04-01,690
2022-05-01,685
2022-06-01,727
2022-07-01,700
2022-08-01,741
2022-09-01,713
2022-10-01,773
2022-11-01,796
2022-12-01,847
2023-01-01,819
2023-02-01,685
2023-03-01,868
2023-04-01,739
2023-05-01,836
2023-06-01,813
2023-07-01,709
2023-08-01,790
2023-09-01,767
2023-10-01,703
2023-11-01,715
2023-12-01,735
2024-01-01,728
2024-02-01,653
2024-03-01,649
2024-04-01,701
2024-05-01,684
2024-06-01,614
2024-07-01,667
2024-08-01,660
2024-09-01,630
2024-10-01,747
2024-11-01,630
2024-12-01,615
2025-01-01,554
2025-02-01,519
2025-03-01,556
2025-04-01,519
2025-05-01,505
2025-06-01,473
2025-07-01,456
2025-08-01,484
2025-09-01,530
2025-10-01,608
2025-11-01,530
2025-12-01,529
