CVEGEO,Entidad,Municipio,Incidentes_12m,Riesgo_0_10
01001,Aguascalientes,Aguascalientes,0,0.0
01002,Aguascalientes,Asientos,0,0.0
01003,Aguascalientes,Calvillo,0,0.0
01004,Aguascalientes,Cosío,0,0.0
01005,Aguascalientes,Jesús María,0,0.0
01006,Aguascalientes,Pabellón de Arteaga,0,0.0
01007,Aguascalientes,Rincón de Romos,0,0.0
01008,Aguascalientes,San José de Gracia,0,0.0
01009,Aguascalientes,Tepezalá,0,0.0
01010,Aguascalientes,El Llano,0,0.0
01011,Aguascalientes,San Francisco de los Romo,0,0.0
02001,Baja California,Ensenada,2,0.0447427293064877
02002,Baja California,Mexicali,10,0.22371364653243847
02003,Baja California,Tecate,0,0.0
02004,Baja California,Tijuana,14,0.3131991051454139
02005,Baja California,Playas de Rosarito,0,0.0
02006,Baja California,San Quintín,0,0.0
02007,Baja California,San Felipe,0,0.0
03001,Baja California Sur,Comondú,0,0.0
03002,Baja California Sur,Mulegé,0,0.0
03003,Baja California Sur,La Paz,0,0.0
03008,Baja California Sur,Los Cabos,0,0.0
03009,Baja California Sur,Loreto,0,0.0
04001,Campeche,Calkiní,0,0.0
04002,Campeche,Campeche,0,0.0
04003,Campeche,Carmen,0,0.0
04004,Campeche,Champotón,0,0.0
04005,Campeche,Hecelchakán,0,0.0
04006,Campeche,Hopelchén,0,0.0
04007,Campeche,Palizada,0,0.0
04008,Campeche,Tenabo,0,0.0
04009,Campeche,Escárcega,0,0.0
04010,Campeche,Calakmul,0,0.0
04011,Campeche,Candelaria,0,0.0
04012,Campeche,Seybaplaya,0,0.0
04013,Campeche,Dzitbalché,0,0.0
05001,Coahuila de Zaragoza,Abasolo,0,0.0
05002,Coahuila de Zaragoza,Acuña,0,0.0
05003,Coahuila de Zaragoza,Allende,0,0.0
05004,Coahuila de Zaragoza,Arteaga,0,0.0
05005,Coahuila de Zaragoza,Candela,0,0.0
05006,Coahuila de Zaragoza,Castaños,0,0.0
05007,Coahuila de Zaragoza,Cuatro Ciénegas,0,0.0
05008,Coahuila de Zaragoza,Escobedo,0,0.0
05009,Coahuila de Zaragoza,Francisco I. Madero,0,0.0
05010,Coahuila de Zaragoza,Frontera,0,0.0
